title,budget,year,revenue,ratio,rating,production_company,abstract,url
The Alamo,145000000,2004-04-07,25819961.0,5.615810186545208,12.240901,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Touchstone Pictures', 'id': 9195}]",,
Live by Night,108000000,2016-12-25,22678555.0,4.762208174198047,19.943929999999998,"[{'name': 'Appian Way', 'id': 562}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Pearl Street Films', 'id': 29313}]",| english_pub_date =,https://en.wikipedia.org/wiki/Live_by_Night
The Postman,80000000,1997-12-25,17626234.0,4.53868931956764,6.537407,"[{'name': 'Tig Productions', 'id': 335}, {'name': 'Warner Bros.', 'id': 6194}]","The Postman is a post-apocalyptic dystopia science fiction novel by David Brin. It is about a man wandering the desolate Oregon countryside who finds a United States Postal Service uniform, which he puts on and then claims he is a mail carrier and federal inspector for the ""Restored United States of America"".",https://en.wikipedia.org/wiki/The_Postman
Blackhat,70000000,2015-01-13,17752940.0,3.9430088762762674,14.932367999999999,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Legendary Pictures', 'id': 923}]",,
Mars Needs Moms,150000000,2011-03-09,38992758.0,3.8468681799835753,7.24717,"[{'name': 'Walt Disney Animation Studios', 'id': 6125}]",| based_on       =,https://en.wikipedia.org/wiki/Mars_Needs_Moms
The Astronaut's Wife,75000000,1999-08-26,19598588.0,3.826806298494565,14.705865,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Mad Chance', 'id': 1757}]",| music          = George S. Clinton,https://en.wikipedia.org/wiki/The_Astronaut%27s_Wife
Hudson Hawk,65000000,1991-05-23,17218080.0,3.7751015211916776,9.782014,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Silver Pictures', 'id': 1885}]",| story =,https://en.wikipedia.org/wiki/Hudson_Hawk
Legends of Oz: Dorothy's Return,70000000,2013-06-13,18662027.0,3.750932307621246,6.660309,"[{'name': 'Prana Animation Studios', 'id': 22135}, {'name': 'Summertime Entertainment', 'id': 48471}]",| starring    =,https://en.wikipedia.org/wiki/Legends_of_Oz:_Dorothy%27s_Return
Hard Rain,70000000,1998-01-16,19870567.0,3.5227983177329567,6.363405,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Mutual Film Company', 'id': 762}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Marubeni', 'id': 4650}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': 'UGC PH', 'id': 23932}, {'name': 'British Broadcasting Corporation (BBC) Television', 'id': 48136}, {'name': 'Stargate Studios', 'id': 55474}]",Hard Rain may refer to:,https://en.wikipedia.org/wiki/Hard_Rain
Ballistic: Ecks vs. Sever,70000000,2002-09-20,19924033.0,3.513344913652773,9.094558000000001,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Dante Entertainment', 'id': 2755}, {'name': 'Chris Lee Productions', 'id': 20033}, {'name': 'SuperMega', 'id': 76491}, {'name': 'MHF Erste Academy Film GmbH & Co. Produktions KG', 'id': 76492}]",| writer         = Alan B. McElroy,https://en.wikipedia.org/wiki/Ballistic:_Ecks_vs._Sever
Flyboys,60000000,2006-09-22,17800000.0,3.3707865168539324,5.460942,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Electric Entertainment', 'id': 3241}, {'name': 'Skydance Productions', 'id': 6277}, {'name': 'Flyboys Films', 'id': 6362}]",,
Rock Star,57000000,2001-09-04,16991902.0,3.3545391210471904,10.076222999999999,"[{'name': 'Bel Air Entertainment', 'id': 788}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Robert Lawrence Productions', 'id': 12245}, {'name': 'Metal Productions Inc.', 'id': 89134}, {'name': 'Maysville Pictures', 'id': 89135}]",Rock Star or Rockstar may refer to:,https://en.wikipedia.org/wiki/Rock_Star
3000 Miles to Graceland,62000000,2001-02-23,18720175.0,3.3119348510363817,4.764480000000001,"[{'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",| writers        =,https://en.wikipedia.org/wiki/3000_Miles_to_Graceland
Get Carter,63600000,2000-10-06,19412993.0,3.276156335089597,6.047757,"[{'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}, {'name': 'The Canton Company', 'id': 22351}]",| starring       = Michael CaineIan HendryJohn OsborneBritt Ekland,https://en.wikipedia.org/wiki/Get_Carter
City of Ember,55000000,2008-10-07,17869048.0,3.077947969024427,8.061467,"[{'name': 'Playtone', 'id': 4171}, {'name': 'Walden Media', 'id': 10221}]",| based_on       =,https://en.wikipedia.org/wiki/City_of_Ember
The Iron Giant,70000000,1999-08-06,23159305.0,3.0225432067154,15.441459,"[{'name': 'Warner Bros. Animation', 'id': 2785}]",| screenplay        = }},https://en.wikipedia.org/wiki/The_Iron_Giant
The Fan,55000000,1996-08-15,18626419.0,2.9527951669078205,12.202063,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mandalay Entertainment', 'id': 1236}]",The Fan can refer to:,https://en.wikipedia.org/wiki/The_Fan
The Lone Ranger,255000000,2013-07-03,89289910.0,2.8558657971544603,12.729104,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Infinitum Nihil', 'id': 2691}, {'name': 'Silver Bullet Productions (II)', 'id': 37380}, {'name': 'Blind Wink Productions', 'id': 37381}, {'name': 'Classic Media', 'id': 37382}]",,
K-19: The Widowmaker,100000000,2002-07-19,35168966.0,2.8434159821474423,7.718723,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Intermedia Films', 'id': 763}, {'name': 'National Geographic Society', 'id': 2471}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Palomar Pictures (II)', 'id': 11371}, {'name': 'First Light Production', 'id': 20344}]",| screenplay     = Christopher Kyle,https://en.wikipedia.org/wiki/K-19:_The_Widowmaker
Broken City,56000000,2013-01-18,19701164.0,2.8424716427922734,12.136158,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Inferno International', 'id': 7415}, {'name': '1984 Private Defense Contractors', 'id': 8532}, {'name': 'Closest to the Hole Productions', 'id': 8537}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Emmett/Furla Films', 'id': 10405}, {'name': 'Envision Entertainment Corporation', 'id': 11030}, {'name': 'Black Bear Pictures', 'id': 22146}, {'name': 'Leverage Communications', 'id': 25790}]",| writer         = Brian Tucker,https://en.wikipedia.org/wiki/Broken_City
The Last Legion,67000000,2007-04-19,25303038.0,2.6479033861467545,8.920544999999999,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Quinta Communications', 'id': 6370}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Zephyr Films', 'id': 16923}]",}},https://en.wikipedia.org/wiki/The_Last_Legion
Australia,130000000,2008-11-18,49554002.0,2.623400628671727,9.566135000000001,"[{'name': 'Bazmark Films', 'id': 240}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'ScreenWest', 'id': 7888}]","|name=""anthem explanation""|group=""N""}}}}",https://en.wikipedia.org/wiki/Australia
The Last Castle,72000000,2001-10-19,27642707.0,2.6046653100942683,9.807552000000001,"[{'name': 'DreamWorks SKG', 'id': 27}]",| starring =,https://en.wikipedia.org/wiki/The_Last_Castle
The Phantom,45000000,1996-06-06,17300889.0,2.6010224098888792,8.079541,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'The Ladd Company', 'id': 7965}]",Phantom}},https://en.wikipedia.org/wiki/The_Phantom
The 13th Warrior,160000000,1999-08-27,61698899.0,2.5932391435380393,10.308026,"[{'name': 'Touchstone Pictures', 'id': 9195}]",| screenplay     =,https://en.wikipedia.org/wiki/The_13th_Warrior
The Out-of-Towners,75000000,1999-04-02,29000000.0,2.586206896551724,9.019881,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Cherry Alley Productions', 'id': 2232}]",The Out-of-Towners may refer to:,https://en.wikipedia.org/wiki/The_Out-of-Towners
Wyatt Earp,63000000,1994-06-24,25052000.0,2.5147692798978127,9.277147,"[{'name': 'Tig Productions', 'id': 335}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Kasdan Pictures', 'id': 13040}, {'name': 'Paragon Entertainment Corp.', 'id': 24217}]",,
How Do You Know,120000000,2010-12-17,48668907.0,2.465639920781455,5.458387,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Gracie Films', 'id': 18}, {'name': 'Road Rebel', 'id': 2648}]",| writer         = James L. Brooks,https://en.wikipedia.org/wiki/How_Do_You_Know
The Adventures of Ford Fairlane,49000000,1990-07-11,20423389.0,2.3992100429561423,3.834949,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Silver Pictures', 'id': 1885}]",| screenplay     =,https://en.wikipedia.org/wiki/The_Adventures_of_Ford_Fairlane
Red Planet,80000000,2000-11-10,33463969.0,2.3906309499629286,8.534175999999999,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Canton Company', 'id': 22351}, {'name': 'Mars Production Pty. Ltd.', 'id': 53997}]","Red Planet is a nickname for the planet Mars, due to its surface color.",https://en.wikipedia.org/wiki/Red_Planet
Life or Something Like It,40000000,2002-04-26,16872671.0,2.370697561755338,6.332398,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Monarchy Enterprises S.a.r.l.', 'id': 77845}, {'name': 'Atchity Entertainment International (AEI)', 'id': 81134}]",| runtime        = 103 minutes,https://en.wikipedia.org/wiki/Life_or_Something_Like_It
Thirteen Days,80000000,2000-12-24,34566746.0,2.3143630586460175,10.204559,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Tig Productions', 'id': 335}]","""Thirteen Days"" is often used to denote the period of the Cuban Missile Crisis.",https://en.wikipedia.org/wiki/Thirteen_Days
Flushed Away,149000000,2006-10-22,64459316.0,2.3115355428220803,9.922577,"[{'name': 'Aardman Animations', 'id': 297}, {'name': 'DreamWorks Animation', 'id': 521}]",| producer       =,https://en.wikipedia.org/wiki/Flushed_Away
Super Mario Bros.,48000000,1993-05-28,20915465.0,2.294952562613358,7.198455,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}, {'name': 'Allied Filmmakers', 'id': 1755}, {'name': 'Walt Disney', 'id': 5888}, {'name': 'Nintendo', 'id': 12288}]","}}|EU|May 15, 1987|AU|1987}}",https://en.wikipedia.org/wiki/Super_Mario_Bros.
Mystery Men,68000000,1999-08-06,29762011.0,2.284791844207033,10.466306,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Golar Productions', 'id': 2484}]",| writer         = Neil Cuthbert,https://en.wikipedia.org/wiki/Mystery_Men
Sinbad: Legend of the Seven Seas,60000000,2003-07-02,26288320.0,2.2823824420883496,8.388773,"[{'name': 'DreamWorks Animation', 'id': 521}]",| starring    = Brad PittCatherine Zeta-JonesMichelle PfeifferJoseph Fiennes,https://en.wikipedia.org/wiki/Sinbad:_Legend_of_the_Seven_Seas
Event Horizon,60000000,1997-08-15,26673242.0,2.2494453430145462,11.335072,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Impact Pictures', 'id': 248}, {'name': 'Golar Productions', 'id': 2484}]",,
The Cotton Club,58000000,1984-12-14,25928721.0,2.236901696770928,9.508061,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'PSO International', 'id': 427}, {'name': 'Totally Independent', 'id': 991}]",The Cotton Club may refer to:,https://en.wikipedia.org/wiki/The_Cotton_Club
The Chamber,50000000,1996-10-11,22540359.0,2.2182432852999368,3.9984940000000004,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Davis Entertainment', 'id': 1302}]",The Chamber may refer to:,https://en.wikipedia.org/wiki/The_Chamber
